record_id,employee_id,employee_name,department,position,basic_salary,allowance,overtime_hours,overtime_pay,gross_pay,tax,sss,philhealth,net_pay,status,hire_date,pay_date
1,EMP-1001,Employee 1,Finance,Accountant,36616,3000,12,3432.75,43048.75,5165.85,1125.0,1076.22,35681.68,active,2022-08-12,2024-01-31
2,EMP-1002,Employee 2,Finance,Accountant,39570,3000,9,2782.27,45352.27,5442.27,1125.0,1133.81,37651.19,on_leave,2021-02-12,2024-01-31
3,EMP-1003,Employee 3,Sales,Account Executive,39019,5000,1,304.84,44323.84,5318.86,1125.0,1108.1,36771.88,active,2022-09-07,2024-01-31
4,EMP-1004,Employee 4,Marketing,Marketing Associate,29155,7500,11,2505.51,39160.51,4699.26,1125.0,979.01,32357.24,active,2019-11-10,2024-01-31
5,EMP-1005,Employee 5,Engineering,Junior Developer,36513,5000,34,9698.77,51211.77,6145.41,1125.0,1280.29,42661.07,active,2020-08-19,2024-01-31
6,EMP-1006,Employee 6,Marketing,Marketing Associate,25588,2000,12,2398.88,29986.88,3598.43,1125.0,749.67,24513.78,resigned,2021-11-28,2024-01-31
7,EMP-1007,Employee 7,HR,Recruiter,32769,2000,6,1536.05,36305.05,4356.61,1125.0,907.63,29915.81,on_leave,2022-09-16,2024-01-31
8,EMP-1008,Employee 8,Sales,Sales Associate,26694,2000,6,1251.28,29945.28,3593.43,1125.0,748.63,24478.22,active,2021-03-27,2024-01-31
9,EMP-1009,Employee 9,Engineering,Tech Lead,92872,5000,28,20315.75,118187.75,14182.53,1125.0,2954.69,99925.53,resigned,2021-07-08,2024-01-31
10,EMP-1010,Employee 10,Engineering,Senior Developer,71339,2000,25,13933.4,87272.4,10472.69,1125.0,2181.81,73492.9,resigned,2022-03-19,2024-01-31
11,EMP-1011,Employee 11,Operations,Logistics Officer,34030,3000,36,9570.94,46600.94,5592.11,1125.0,1165.02,38718.81,active,2020-08-25,2024-01-31
12,EMP-1012,Employee 12,Sales,Sales Associate,27148,2000,2,424.19,29572.19,3548.66,1125.0,739.3,24159.23,active,2018-04-17,2024-01-31
13,EMP-1013,Employee 13,Sales,Sales Associate,26933,7500,7,1472.9,35905.9,4308.71,1125.0,897.65,29574.54,resigned,2019-06-09,2024-01-31
14,EMP-1014,Employee 14,Operations,Logistics Officer,36004,2000,30,8438.44,46442.44,5573.09,1125.0,1161.06,38583.29,on_leave,2022-08-12,2024-01-31
15,EMP-1015,Employee 15,Sales,Sales Associate,25207,5000,33,6498.68,36705.68,4404.68,1125.0,917.64,30258.36,active,2018-07-08,2024-01-31
16,EMP-1016,Employee 16,HR,HR Manager,50403,2000,3,1181.32,53584.32,6430.12,1125.0,1339.61,44689.59,active,2022-06-15,2024-01-31
17,EMP-1017,Employee 17,Marketing,Marketing Associate,30742,2000,15,3602.58,36344.58,4361.35,1125.0,908.61,29949.62,on_leave,2018-06-30,2024-01-31
18,EMP-1018,Employee 18,HR,HR Associate,25196,7500,6,1181.06,33877.06,4065.25,1125.0,846.93,27839.88,active,2022-12-15,2024-01-31
19,EMP-1019,Employee 19,Marketing,Marketing Manager,53719,2000,10,4196.8,59915.8,7189.9,1125.0,1497.9,50103.0,active,2018-12-03,2024-01-31
20,EMP-1020,Employee 20,Engineering,Junior Developer,33911,7500,36,9537.47,50948.47,6113.82,1125.0,1273.71,42435.94,on_leave,2021-12-29,2024-01-31
21,EMP-1021,Employee 21,Operations,Operations Manager,59010,5000,38,17518.59,81528.59,9783.43,1125.0,2038.21,68581.95,active,2022-09-15,2024-01-31
22,EMP-1022,Employee 22,HR,Recruiter,30399,5000,34,8074.73,43473.73,5216.85,1125.0,1086.84,36045.04,active,2019-07-20,2024-01-31
23,EMP-1023,Employee 23,HR,HR Associate,22149,7500,4,692.16,30341.16,3640.94,1125.0,758.53,24816.69,active,2018-03-15,2024-01-31
24,EMP-1024,Employee 24,Sales,Sales Associate,24072,2000,6,1128.38,27200.38,3264.05,1125.0,680.01,22131.32,active,2020-11-11,2024-01-31
25,EMP-1025,Employee 25,Sales,Sales Associate,27482,3000,6,1288.22,31770.22,3812.43,1125.0,794.26,26038.53,on_leave,2023-05-03,2024-01-31
26,EMP-1026,Employee 26,HR,HR Manager,50770,7500,34,13485.78,71755.78,8610.69,1125.0,1793.89,60226.2,active,2021-11-24,2024-01-31
