emp_id,employee_code,full_name,email,dept_id,position,salary,performance_score,absences,overtime_hrs,status,hire_date
1,EMP-2001,Carlo Go,carlo.go@company.com,7,Senior Data Analyst,78608.61,2.02,27,71,active,2018-04-19
2,EMP-2002,Donna Diaz,donna.diaz@company.com,3,CFO,202257.51,1.28,11,21,active,2023-01-11
3,EMP-2003,Donna Gomez,donna.gomez@company.com,9,Legal Associate,53208.75,4.92,11,3,active,2019-04-23
4,EMP-2004,Cedric Tan,cedric.tan@company.com,8,Senior Support,37361.21,2.93,9,25,active,2021-10-09
5,EMP-2005,Carlo Tan,carlo.tan@company.com,6,Operations Manager,83809.63,1.31,2,51,active,2019-07-22
6,EMP-2006,Juan Castro,juan.castro@company.com,2,Marketing Manager,66843.57,1.23,12,71,on_leave,2019-08-27
7,EMP-2007,Ana Castro,ana.castro@company.com,7,Data Engineer,89129.66,4.16,28,27,active,2019-03-01
8,EMP-2008,Juan Mendoza,juan.mendoza@company.com,5,Sales Associate,25676.37,3.33,14,43,active,2018-08-10
9,EMP-2009,Sofia Morales,sofia.morales@company.com,3,Finance Manager,89967.35,2.37,26,46,active,2016-03-04
10,EMP-2010,Juan Flores,juan.flores@company.com,1,Senior Developer,83413.67,3.7,22,23,on_leave,2021-03-07
11,EMP-2011,Ana Ramos,ana.ramos@company.com,7,Data Analyst,46200.51,3.81,29,72,resigned,2018-05-22
12,EMP-2012,Rachel Reyes,rachel.reyes@company.com,1,Software Architect,168968.05,1.7,17,61,active,2015-12-31
13,EMP-2013,Kevin Castro,kevin.castro@company.com,2,Marketing Manager,65849.92,2.08,2,44,active,2017-05-19
14,EMP-2014,Miguel Aquino,miguel.aquino@company.com,4,HR Specialist,42262.43,4.12,26,15,resigned,2015-10-18
15,EMP-2015,Miguel Lim,miguel.lim@company.com,9,Senior Associate,82741.37,3.98,25,71,active,2018-01-01
16,EMP-2016,Carmen Garcia,carmen.garcia@company.com,2,Marketing Manager,63514.25,2.19,30,2,on_leave,2022-09-28
17,EMP-2017,Carlo Flores,carlo.flores@company.com,8,Support Manager,54724.17,1.38,6,26,on_leave,2022-04-02
18,EMP-2018,Ivan Rivera,ivan.rivera@company.com,9,Legal Manager,111295.45,1.99,17,51,active,2021-10-31
19,EMP-2019,Bianca Reyes,bianca.reyes@company.com,7,Data Analyst,53357.27,2.16,30,28,active,2022-12-20
20,EMP-2020,Elena Aquino,elena.aquino@company.com,9,Legal Manager,135385.39,1.67,8,18,active,2022-12-14
21,EMP-2021,Lisa Reyes,lisa.reyes@company.com,7,Data Science Lead,159180.54,4.59,26,49,on_leave,2021-02-09
22,EMP-2022,Rafael Gomez,rafael.gomez@company.com,10,CEO,469171.77,1.17,7,67,resigned,2021-01-13
23,EMP-2023,Ivan Ortiz,ivan.ortiz@company.com,8,Support Associate,24470.76,1.74,10,34,active,2016-07-03
24,EMP-2024,Bianca Tan,bianca.tan@company.com,7,Data Science Lead,114039.76,1.33,24,40,active,2020-05-08
25,EMP-2025,Mark Go,mark.go@company.com,2,Marketing Associate,26087.72,4.83,27,40,resigned,2015-06-09
26,EMP-2026,Lucia Morales,lucia.morales@company.com,4,HR Associate,30164.53,3.28,19,67,active,2015-02-09
27,EMP-2027,Andrei Villanueva,andrei.villanueva@company.com,9,Senior Associate,75166.39,2.57,6,39,active,2022-02-23
28,EMP-2028,Ivan Morales,ivan.morales@company.com,9,General Counsel,184537.1,4.85,19,64,active,2016-09-30
29,EMP-2029,Andrei Garcia,andrei.garcia@company.com,1,Tech Lead,119218.09,4.43,6,17,active,2017-03-21
30,EMP-2030,Bianca Villanueva,bianca.villanueva@company.com,6,Operations Specialist,46351.84,2.96,16,44,resigned,2019-01-15
31,EMP-2031,Paolo Reyes,paolo.reyes@company.com,10,CEO,394293.29,3.16,9,56,active,2018-03-05
32,EMP-2032,Jose Castro,jose.castro@company.com,4,HR Associate,30855.93,3.09,22,53,active,2016-11-25
33,EMP-2033,Mark Ramos,mark.ramos@company.com,8,Senior Support,29408.88,4.53,5,6,active,2020-02-06
34,EMP-2034,Jose Gomez,jose.gomez@company.com,10,VP,193729.01,2.54,12,15,active,2021-01-29
35,EMP-2035,Juan Morales,juan.morales@company.com,5,Sales Associate,30804.77,1.01,12,32,active,2016-10-14
36,EMP-2036,Lisa Go,lisa.go@company.com,2,Marketing Specialist,44225.32,4.82,14,62,active,2022-07-21
37,EMP-2037,Jose Diaz,jose.diaz@company.com,2,Marketing Specialist,36206.85,3.31,30,3,active,2016-08-05
38,EMP-2038,Jasmine Flores,jasmine.flores@company.com,10,C-Suite,340250.76,1.15,16,53,resigned,2023-03-07
39,EMP-2039,Diego Tan,diego.tan@company.com,6,Operations Analyst,33515.38,3.22,4,24,on_leave,2020-02-28
40,EMP-2040,Mark Aquino,mark.aquino@company.com,5,Sales Manager,70293.49,3.46,30,17,on_leave,2021-04-24
41,EMP-2041,Donna dela Cruz,donna.delacruz@company.com,6,COO,197383.77,4.8,25,60,active,2022-01-28
42,EMP-2042,Mark Gomez,mark.gomez@company.com,4,HR Director,77764.61,3.74,18,75,resigned,2021-08-24
43,EMP-2043,Sofia Reyes,sofia.reyes@company.com,3,Finance Manager,82776.29,3.59,8,73,resigned,2019-04-21
44,EMP-2044,Diego dela Cruz,diego.delacruz@company.com,7,Data Analyst,40707.13,2.88,10,49,resigned,2016-06-07
45,EMP-2045,Juan Reyes,juan.reyes@company.com,3,CFO,209655.43,3.33,0,55,resigned,2020-05-22
46,EMP-2046,Miguel Mendoza,miguel.mendoza@company.com,6,Operations Analyst,38624.32,1.99,30,5,active,2022-01-29
47,EMP-2047,Mark Flores,mark.flores@company.com,7,Data Science Lead,156507.38,3.7,12,66,active,2019-05-24
48,EMP-2048,Ana Reyes,ana.reyes@company.com,9,Legal Associate,49856.05,1.9,9,6,active,2022-09-03
49,EMP-2049,Rafael Villanueva,rafael.villanueva@company.com,10,SVP,254578.82,4.48,6,30,active,2022-01-16
50,EMP-2050,Lucia Torres,lucia.torres@company.com,9,General Counsel,171134.94,3.0,1,7,on_leave,2019-01-25
51,EMP-2051,Jose Ramos,jose.ramos@company.com,5,Sales Specialist,44818.38,3.09,25,6,active,2022-02-09
52,EMP-2052,Cedric Flores,cedric.flores@company.com,4,HR Manager,69690.79,2.31,20,1,active,2015-10-13
53,EMP-2053,Faith Gomez,faith.gomez@company.com,4,HR Manager,64753.51,4.03,25,37,active,2019-04-04
54,EMP-2054,Mark Morales,mark.morales@company.com,10,C-Suite,284739.92,3.27,21,70,active,2018-06-24
55,EMP-2055,Nina Flores,nina.flores@company.com,2,Marketing Associate,29063.52,4.41,11,40,active,2017-03-03
56,EMP-2056,Gelo Aquino,gelo.aquino@company.com,5,Sales Specialist,52734.65,4.33,30,11,active,2015-01-05
57,EMP-2057,Rosa Gomez,rosa.gomez@company.com,5,Sales Director,99644.11,2.2,24,30,active,2018-03-12
58,EMP-2058,Rosa Ortiz,rosa.ortiz@company.com,9,Legal Manager,126735.67,1.07,21,14,active,2017-02-06
59,EMP-2059,Rafael Rivera,rafael.rivera@company.com,2,Marketing Specialist,50958.67,4.5,14,39,active,2020-04-12
60,EMP-2060,Rosa Morales,rosa.morales@company.com,5,Sales Specialist,36849.83,3.79,26,54,active,2016-04-20
61,EMP-2061,Donna Mendoza,donna.mendoza@company.com,5,Sales Specialist,35736.13,1.13,25,11,active,2016-03-11
62,EMP-2062,Diego Morales,diego.morales@company.com,8,Senior Support,37519.08,4.32,15,32,active,2018-09-24
63,EMP-2063,Ana Villanueva,ana.villanueva@company.com,4,HR Director,100259.64,4.83,26,28,active,2022-01-10
64,EMP-2064,Elena Rivera,elena.rivera@company.com,6,Operations Specialist,54738.32,3.56,3,12,on_leave,2021-09-17
65,EMP-2065,Diego Tan,diego.tan@company.com,8,Support Manager,45915.43,2.33,12,18,active,2021-04-03
66,EMP-2066,Gelo Mendoza,gelo.mendoza@company.com,2,Marketing Associate,28459.28,2.75,16,46,active,2015-06-13
67,EMP-2067,Ivan Diaz,ivan.diaz@company.com,2,Brand Director,90178.17,1.35,17,36,active,2019-07-21
68,EMP-2068,Faith Diaz,faith.diaz@company.com,10,SVP,262428.42,2.79,13,72,active,2022-04-28
69,EMP-2069,Lisa Villanueva,lisa.villanueva@company.com,3,Senior Analyst,57091.76,4.31,13,40,active,2017-09-24
